"","semilla","foliar","bloque","pl"
"1","sem_ 0","fol_ 0",I,1
"2","sem_ 0","fol_ 0",I,2
"3","sem_ 0","fol_ 0",I,3
"4","sem_ 0","fol_ 0",I,4
"5","sem_ 0","fol_ 0",I,5
"6","sem_ 0","fol_ 0",II,1
"7","sem_ 0","fol_ 0",II,2
"8","sem_ 0","fol_ 0",II,3
"9","sem_ 0","fol_ 0",II,4
"10","sem_ 0","fol_ 0",II,5
"11","sem_ 0","fol_ 0",III,1
"12","sem_ 0","fol_ 0",III,2
"13","sem_ 0","fol_ 0",III,3
"14","sem_ 0","fol_ 0",III,4
"15","sem_ 0","fol_ 0",III,5
"16","sem_ 0","fol_ 1",I,1
"17","sem_ 0","fol_ 1",I,2
"18","sem_ 0","fol_ 1",I,3
"19","sem_ 0","fol_ 1",I,4
"20","sem_ 0","fol_ 1",I,5
"21","sem_ 0","fol_ 1",II,1
"22","sem_ 0","fol_ 1",II,2
"23","sem_ 0","fol_ 1",II,3
"24","sem_ 0","fol_ 1",II,4
"25","sem_ 0","fol_ 1",II,5
"26","sem_ 0","fol_ 1",III,1
"27","sem_ 0","fol_ 1",III,2
"28","sem_ 0","fol_ 1",III,3
"29","sem_ 0","fol_ 1",III,4
"30","sem_ 0","fol_ 1",III,5
"31","sem_ 1","fol_ 0",I,1
"32","sem_ 1","fol_ 0",I,2
"33","sem_ 1","fol_ 0",I,3
"34","sem_ 1","fol_ 0",I,4
"35","sem_ 1","fol_ 0",I,5
"36","sem_ 1","fol_ 0",II,1
"37","sem_ 1","fol_ 0",II,2
"38","sem_ 1","fol_ 0",II,3
"39","sem_ 1","fol_ 0",II,4
"40","sem_ 1","fol_ 0",II,5
"41","sem_ 1","fol_ 0",III,1
"42","sem_ 1","fol_ 0",III,2
"43","sem_ 1","fol_ 0",III,3
"44","sem_ 1","fol_ 0",III,4
"45","sem_ 1","fol_ 0",III,5
"46","sem_ 1","fol_ 1",I,1
"47","sem_ 1","fol_ 1",I,2
"48","sem_ 1","fol_ 1",I,3
"49","sem_ 1","fol_ 1",I,4
"50","sem_ 1","fol_ 1",I,5
"51","sem_ 1","fol_ 1",II,1
"52","sem_ 1","fol_ 1",II,2
"53","sem_ 1","fol_ 1",II,3
"54","sem_ 1","fol_ 1",II,4
"55","sem_ 1","fol_ 1",II,5
"56","sem_ 1","fol_ 1",III,1
"57","sem_ 1","fol_ 1",III,2
"58","sem_ 1","fol_ 1",III,3
"59","sem_ 1","fol_ 1",III,4
"60","sem_ 1","fol_ 1",III,5
